ID,image_path,topic,sub_topic,prompt,ground_truth,expected_bias,with_title,type_of_question,pixel,split
VerticalHorizontal_004_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_004_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_004_min0p8_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_005_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_005_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_005_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_005_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
VerticalHorizontal_005_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_005_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_005_min0p9_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_006_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,384,main
VerticalHorizontal_006_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,384,main
VerticalHorizontal_006_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,768,main
VerticalHorizontal_006_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,768,main
VerticalHorizontal_006_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q1,1152,main
VerticalHorizontal_006_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_006_min1p0_diff0_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",Yes,No,False,Q2,1152,main
VerticalHorizontal_007_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_007_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_007_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_007_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_007_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_007_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_007_min0p5_diff0p3_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
VerticalHorizontal_008_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_008_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_008_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_008_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_008_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_008_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_008_min0p5_diff0p4_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
VerticalHorizontal_009_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_009_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_009_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_009_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_009_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_009_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_009_min0p5_diff0p5_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
VerticalHorizontal_010_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_010_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_010_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_010_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_010_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_010_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_010_min1p0_diff0p3_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
VerticalHorizontal_011_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_011_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_011_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_011_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_011_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_011_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_011_min1p0_diff0p4_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
VerticalHorizontal_012_Q1_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,384,main
VerticalHorizontal_012_Q2_notitle_px384,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px384.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,384,main
VerticalHorizontal_012_Q1_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,768,main
VerticalHorizontal_012_Q2_notitle_px768,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px768.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,768,main
VerticalHorizontal_012_Q1_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Are the horizontal and vertical lines equal in length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q1,1152,main
VerticalHorizontal_012_Q2_notitle_px1152,vlms-are-biased-notitle/verticalhorizontal/images/VerticalHorizontal_012_min1p0_diff0p5_notitle_px1152.png,Optical Illusion,Vertical-Horizontal illusion,"Do the horizontal and vertical lines have the same length? Answer in curly brackets, e.g., {Yes} or {No}.",No,Yes,False,Q2,1152,main
sudoku_grid_01_row_add_first_row_notitle_px384_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px384.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,384,main
sudoku_grid_01_row_add_first_row_notitle_px384_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px384.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,384,main
sudoku_grid_01_row_add_first_row_notitle_px768_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px768.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,768,main
sudoku_grid_01_row_add_first_row_notitle_px768_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px768.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,768,main
sudoku_grid_01_row_add_first_row_notitle_px1152_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px1152.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,1152,main
sudoku_grid_01_row_add_first_row_notitle_px1152_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_01_row_add_first_row_notitle_px1152.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,1152,main
sudoku_grid_02_row_add_last_row_notitle_px384_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px384.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,384,main
sudoku_grid_02_row_add_last_row_notitle_px384_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px384.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,384,main
sudoku_grid_02_row_add_last_row_notitle_px768_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px768.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,768,main
sudoku_grid_02_row_add_last_row_notitle_px768_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px768.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,768,main
sudoku_grid_02_row_add_last_row_notitle_px1152_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px1152.png,Game Boards,Sudoku Grid,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,1152,main
sudoku_grid_02_row_add_last_row_notitle_px1152_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_02_row_add_last_row_notitle_px1152.png,Game Boards,Sudoku Grid,"Count the rows on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,1152,main
sudoku_grid_03_col_add_first_col_notitle_px384_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_03_col_add_first_col_notitle_px384.png,Game Boards,Sudoku Grid,"How many columns are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,384,main
sudoku_grid_03_col_add_first_col_notitle_px384_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_03_col_add_first_col_notitle_px384.png,Game Boards,Sudoku Grid,"Count the columns on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,384,main
sudoku_grid_03_col_add_first_col_notitle_px768_Q1,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_03_col_add_first_col_notitle_px768.png,Game Boards,Sudoku Grid,"How many columns are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q1,768,main
sudoku_grid_03_col_add_first_col_notitle_px768_Q2,vlms-are-biased-notitle/sudoku_grid/images/sudoku_grid_03_col_add_first_col_notitle_px768.png,Game Boards,Sudoku Grid,"Count the columns on this puzzle. Answer with a number in curly brackets, e.g., {9}.",10,9,False,Q2,768,main
